lemma,count
senator,75171
laid,75131
grave,75130
official,75067
clever,75029
rescue,74985
eventually,74970
charges,74838
faces,74762
romantic,74746
awake,74745
screwed,74688
hoo,74677
italian,74668
tires,74643
per,74492
lover,74476
jacket,74450
jerk,74429
painting,74416
cos,74381
depends,74369
china,74368
kyle,74308
raised,74302
madame,74295
metal,74289
whore,74289
poison,74263
ear,74220
intelligence,74185
babies,74134
x,74112
kelly,74107
secure,74080
i'll,74061
results,74039
waited,73952
neighborhood,73890
below,73860
pissed,73783
chose,73748
firm,73742
confused,73724
pure,73712
spell,73705
armed,73699
jones,73694
owner,73673
l'm,73654
wherever,73631
invite,73513
bike,73486
concern,73471
penny,73443
range,73321
chocolate,73208
witch,73112
offered,73052
governor,73035
rick,73033
vehicle,72793
prime,72744
barry,72667
sobbing,72665
tip,72653
tears,72645
pity,72634
victory,72533
miracle,72530
freeze,72467
march,72460
nation,72459
license,72440
load,72291
deeply,72273
central,72164
ahh,72138
i'ii,72132
iron,72107
guests,72097
emma,72091
kicked,72083
particular,71992
moves,71978
grade,71958
drove,71938
direction,71920
non,71899
artist,71892
monday,71848
pulling,71752
bath,71660
meal,71548
plate,71460
elevator,71433
hank,71409
period,71372
political,71352
aside,71334
television,71330
desert,71310
fail,71210
nothin',71103
alien,71088
curious,71046
leo,70985
swim,70971
punch,70945
laura,70935
celebrate,70930
healthy,70919
capable,70918
disease,70906
appear,70878
millions,70872
chicago,70843
sat,70826
hunting,70801
exhales,70773
golden,70690
device,70683
carefully,70645
violence,70607
dragon,70571
shock,70531
wolf,70425
beast,70392
beeps,70389
tower,70385
badly,70384
appears,70380
europe,70377
photos,70360
mostly,70334
wood,70219
pills,70163
h,70141
elizabeth,70127
prisoner,70058
stealing,69998
sharp,69891
jury,69866
sexual,69792
susan,69774
university,69734
stood,69688
percent,69626
pizza,69543
howard,69458
bags,69376
dawn,69376
touched,69360
midnight,69355
candy,69352
vacation,69340
yöu,69334
negative,69321
ashamed,69261
courage,69248
lips,69205
disgusting,69184
terms,69165
available,69155
someday,69148
gunshot,69140
fred,69123
tim,69095
illegal,69072
josh,68965
federal,68957
physical,68938
section,68929
value,68911
suffer,68847
committed,68838
blew,68836
jenny,68784
tear,68767
cab,68697
smells,68617
claim,68588
council,68548
rob,68541
beating,68519
edge,68516
county,68483
appointment,68473
patients,68426
useless,68409
cure,68370
victor,68365
americans,68272
technology,68233
amen,68219
mystery,68215
effect,68184
gary,68116
monsieur,68087
image,68052
grateful,68037
darkness,68037
